Time-stamp(s),VehNr,Origin-Time(s),Position (ft),Speed(ft/s),Direction,Lane
3,1,3,4,40,TR,0
4,1,3,44,48,TR,0
4,2,4,4,48,LT,1
5,1,3,92,56,TR,0
5,2,4,52,56,LT,1
6,1,3,148,56,TR,0
6,2,4,108,56,LT,1
7,1,3,204,56,TR,0
7,2,4,164,56,LT,1
8,1,3,260,56,TR,0
8,3,8,4,40,TR,0
8,2,4,220,56,LT,1
9,1,3,316,56,TR,0
9,3,8,44,48,TR,0
9,4,9,4,48,TR,0
9,2,4,276,56,LT,1
10,1,3,372,56,TR,0
10,3,8,92,56,TR,0
10,4,9,52,56,TR,0
10,5,10,4,32,TR,0
10,2,4,332,56,LT,1
11,1,3,428,56,TR,0
11,3,8,148,56,TR,0
11,4,9,108,56,TR,0
11,5,10,36,40,TR,0
11,2,4,388,56,LT,1
12,1,3,484,56,TR,0
12,3,8,204,56,TR,0
12,4,9,164,56,TR,0
12,5,10,76,48,TR,0
12,6,12,4,40,TR,0
12,2,4,444,56,LT,1
13,1,3,540,48,TR,0
13,3,8,260,56,TR,0
13,4,9,220,56,TR,0
13,5,10,124,56,TR,0
13,6,12,44,48,TR,0
13,2,4,500,24,LT,1
14,1,3,588,56,TR,0
14,3,8,316,56,TR,0
14,4,9,276,56,TR,0
14,5,10,180,56,TR,0
14,6,12,92,56,TR,0
14,2,4,524,0,LT,1
15,1,3,644,56,TR,0
15,3,8,372,56,TR,0
15,4,9,332,56,TR,0
15,5,10,236,56,TR,0
15,6,12,148,56,TR,0
15,2,4,524,0,LT,1
16,1,3,700,56,TR,0
16,3,8,428,56,TR,0
16,4,9,388,56,TR,0
16,5,10,292,56,TR,0
16,6,12,204,56,TR,0
16,2,4,524,0,LT,1
17,1,3,756,56,TR,0
17,3,8,484,56,TR,0
17,4,9,444,56,TR,0
17,5,10,348,56,TR,0
17,6,12,260,56,TR,0
17,2,4,524,0,LT,1
18,1,3,812,56,TR,0
18,3,8,540,56,TR,0
18,4,9,500,56,TR,0
18,5,10,404,56,TR,0
18,6,12,316,56,TR,0
18,2,4,524,0,LT,1
19,1,3,868,56,TR,0
19,3,8,596,56,TR,0
19,4,9,556,56,TR,0
19,5,10,460,56,TR,0
19,6,12,372,56,TR,0
19,2,4,524,0,LT,1
20,1,3,924,56,TR,0
20,3,8,652,56,TR,0
20,4,9,612,56,TR,0
20,5,10,516,56,TR,0
20,6,12,428,56,TR,0
20,7,20,4,32,TR,0
20,2,4,524,0,LT,1
21,1,3,980,56,TR,0
21,3,8,708,56,TR,0
21,4,9,668,56,TR,0
21,5,10,572,56,TR,0
21,6,12,484,56,TR,0
21,7,20,36,40,TR,0
21,8,21,4,24,TR,0
21,2,4,524,0,LT,1
22,1,3,1036,48,TR,0
22,3,8,764,56,TR,0
22,4,9,724,56,TR,0
22,5,10,628,56,TR,0
22,6,12,540,56,TR,0
22,7,20,76,48,TR,0
22,8,21,28,32,TR,0
22,2,4,524,0,LT,1
23,3,8,820,56,TR,0
23,4,9,780,56,TR,0
23,5,10,684,56,TR,0
23,6,12,596,56,TR,0
23,7,20,124,48,TR,0
23,8,21,60,40,TR,0
23,2,4,524,0,LT,1
24,3,8,876,56,TR,0
24,4,9,836,56,TR,0
24,5,10,740,56,TR,0
24,6,12,652,56,TR,0
24,7,20,172,56,TR,0
24,8,21,100,40,TR,0
24,2,4,524,0,LT,1
25,3,8,932,56,TR,0
25,4,9,892,56,TR,0
25,5,10,796,56,TR,0
25,6,12,708,56,TR,0
25,7,20,228,56,TR,0
25,8,21,140,48,TR,0
25,2,4,524,0,LT,1
26,3,8,988,56,TR,0
26,4,9,948,56,TR,0
26,5,10,852,56,TR,0
26,6,12,764,56,TR,0
26,7,20,284,56,TR,0
26,8,21,188,56,TR,0
26,2,4,524,0,LT,1
27,3,8,1044,56,TR,0
27,4,9,1004,56,TR,0
27,5,10,908,56,TR,0
27,6,12,820,56,TR,0
27,7,20,340,56,TR,0
27,8,21,244,56,TR,0
27,2,4,524,0,LT,1
28,4,9,1060,56,TR,0
28,5,10,964,56,TR,0
28,6,12,876,56,TR,0
28,7,20,396,56,TR,0
28,8,21,300,56,TR,0
28,2,4,524,0,LT,1
29,5,10,1020,56,TR,0
29,6,12,932,56,TR,0
29,7,20,452,56,TR,0
29,8,21,356,56,TR,0
29,2,4,524,0,LT,1
30,5,10,1076,56,TR,0
30,6,12,988,56,TR,0
30,7,20,508,56,TR,0
30,8,21,412,56,TR,0
30,9,30,4,24,TR,0
30,2,4,524,0,LT,1
31,6,12,1044,56,TR,0
31,7,20,564,56,TR,0
31,8,21,468,56,TR,0
31,9,30,28,32,TR,0
31,2,4,524,0,LT,1
32,7,20,620,56,TR,0
32,8,21,524,56,TR,0
32,9,30,60,40,TR,0
32,2,4,524,0,LT,1
32,10,32,4,48,LT,1
33,7,20,676,56,TR,0
33,8,21,580,56,TR,0
33,9,30,100,48,TR,0
33,11,33,4,24,TR,0
33,2,4,524,0,LT,1
33,10,32,52,56,LT,1
34,7,20,732,56,TR,0
34,8,21,636,56,TR,0
34,9,30,148,56,TR,0
34,11,33,28,32,TR,0
34,2,4,524,0,LT,1
34,10,32,108,56,LT,1
35,7,20,788,48,TR,0
35,8,21,692,56,TR,0
35,9,30,204,56,TR,0
35,11,33,60,40,TR,0
35,2,4,524,0,LT,1
35,10,32,164,56,LT,1
36,7,20,836,56,TR,0
36,8,21,748,56,TR,0
36,9,30,260,56,TR,0
36,11,33,100,48,TR,0
36,2,4,524,0,LT,1
36,10,32,220,56,LT,1
37,7,20,892,56,TR,0
37,8,21,804,56,TR,0
37,9,30,316,56,TR,0
37,11,33,148,56,TR,0
37,2,4,524,0,LT,1
37,10,32,276,56,LT,1
38,7,20,948,56,TR,0
